Erwerbstätige PendlerInnen am Arbeits- bzw. Wohnort Wien nach Geschlecht und Entfernungskategorie;;;;;;;;;
Economically Active Commuters in Vienna by sex and category of distance;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUBDISTRICT_CODE;SEX;DISTANCE_CAT;EAC_PLACE_OF_WORK;EAC_PLACE_OF_ABODE;REF_YEAR
AT1;AT13;AT130;92101;0;1;1;1.398;1.398;2009
AT1;AT13;AT130;92101;0;1;2;7.231;7.231;2009
AT1;AT13;AT130;92101;0;1;3;11.363;18.322;2009
AT1;AT13;AT130;92101;0;1;4;8.587;4.253;2009
AT1;AT13;AT130;92101;0;1;5;;15;2009
AT1;AT13;AT130;92101;0;1;0;28.579;31.219;2009
AT1;AT13;AT130;92101;0;2;1;780;780;2009
AT1;AT13;AT130;92101;0;2;2;8.208;8.208;2009
AT1;AT13;AT130;92101;0;2;3;8.611;17.369;2009
AT1;AT13;AT130;92101;0;2;4;6.228;2.101;2009
AT1;AT13;AT130;92101;0;2;5;;1;2009
AT1;AT13;AT130;92101;0;2;0;23.827;28.459;2009
AT1;AT13;AT130;92101;0;0;1;2.178;2.178;2009
AT1;AT13;AT130;92101;0;0;2;15.439;15.439;2009
AT1;AT13;AT130;92101;0;0;3;19.974;35.691;2009
AT1;AT13;AT130;92101;0;0;4;14.815;6.354;2009
AT1;AT13;AT130;92101;0;0;5;;16;2009
AT1;AT13;AT130;92101;0;0;0;52.406;59.678;2009
AT1;AT13;AT130;92201;0;1;1;1.772;1.772;2009
AT1;AT13;AT130;92201;0;1;2;8.611;8.611;2009
AT1;AT13;AT130;92201;0;1;3;11.650;20.959;2009
AT1;AT13;AT130;92201;0;1;4;9.303;4.615;2009
AT1;AT13;AT130;92201;0;1;5;;26;2009
AT1;AT13;AT130;92201;0;1;0;31.336;35.983;2009
AT1;AT13;AT130;92201;0;2;1;1.012;1.012;2009
AT1;AT13;AT130;92201;0;2;2;10.915;10.915;2009
AT1;AT13;AT130;92201;0;2;3;8.318;19.278;2009
