NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT222;612;Liezen;61241;Sankt Nikolai im Sölktal;240;246;486;01.01.2013
AT2;AT22;AT222;612;Liezen;61242;Schladming;2076;2259;4335;01.01.2013
AT2;AT22;AT222;612;Liezen;61243;Selzthal;830;828;1658;01.01.2013
AT2;AT22;AT222;612;Liezen;61244;Stainach;927;1019;1946;01.01.2013
AT2;AT22;AT222;612;Liezen;61245;Tauplitz;492;503;995;01.01.2013
AT2;AT22;AT222;612;Liezen;61246;Treglwang;176;189;365;01.01.2013
AT2;AT22;AT222;612;Liezen;61247;Trieben;1652;1726;3378;01.01.2013
AT2;AT22;AT222;612;Liezen;61248;Weißenbach an der Enns;246;250;496;01.01.2013
AT2;AT22;AT222;612;Liezen;61249;Weißenbach bei Liezen;546;570;1116;01.01.2013
AT2;AT22;AT222;612;Liezen;61250;Weng im Gesäuse;298;297;595;01.01.2013
AT2;AT22;AT222;612;Liezen;61251;Wildalpen;262;251;513;01.01.2013
AT2;AT22;AT222;612;Liezen;61252;Wörschach;571;603;1174;01.01.2013
AT2;AT22;AT226;614;Murau;61401;Dürnstein in der Steiermark;144;131;275;01.01.2013
AT2;AT22;AT226;614;Murau;61403;Frojach-Katsch;577;563;1140;01.01.2013
AT2;AT22;AT226;614;Murau;61404;Krakaudorf;327;323;650;01.01.2013
AT2;AT22;AT226;614;Murau;61405;Krakauhintermühlen;281;258;539;01.01.2013
AT2;AT22;AT226;614;Murau;61406;Krakauschatten;160;153;313;01.01.2013
AT2;AT22;AT226;614;Murau;61407;Kulm am Zirbitz;174;147;321;01.01.2013
AT2;AT22;AT226;614;Murau;61408;Laßnitz bei Murau;489;560;1049;01.01.2013
AT2;AT22;AT226;614;Murau;61409;Mariahof;668;673;1341;01.01.2013
AT2;AT22;AT226;614;Murau;61410;Mühlen;472;446;918;01.01.2013
AT2;AT22;AT226;614;Murau;61411;Murau;956;1168;2124;01.01.2013
AT2;AT22;AT226;614;Murau;61412;Neumarkt in Steiermark;833;929;1762;01.01.2013
AT2;AT22;AT226;614;Murau;61413;Niederwölz;299;309;608;01.01.2013
AT2;AT22;AT226;614;Murau;61414;Oberwölz Stadt;476;519;995;01.01.2013
AT2;AT22;AT226;614;Murau;61415;Oberwölz Umgebung;414;370;784;01.01.2013
AT2;AT22;AT226;614;Murau;61416;Perchau am Sattel;156;141;297;01.01.2013
AT2;AT22;AT226;614;Murau;61417;Predlitz-Turrach;431;387;818;01.01.2013
AT2;AT22;AT226;614;Murau;61418;Ranten;526;517;1043;01.01.2013
AT2;AT22;AT226;614;Murau;61419;Rinegg;84;74;158;01.01.2013
AT2;AT22;AT226;614;Murau;61420;Sankt Blasen;289;267;556;01.01.2013
AT2;AT22;AT226;614;Murau;61421;Sankt Georgen ob Murau;671;696;1367;01.01.2013
AT2;AT22;AT226;614;Murau;61422;Sankt Lambrecht;679;746;1425;01.01.2013
AT2;AT22;AT226;614;Murau;61423;Sankt Lorenzen bei Scheifling;314;319;633;01.01.2013
AT2;AT22;AT226;614;Murau;61424;Sankt Marein bei Neumarkt;474;460;934;01.01.2013
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg;1051;1049;2100;01.01.2013
AT2;AT22;AT226;614;Murau;61427;Scheifling;742;783;1525;01.01.2013
AT2;AT22;AT226;614;Murau;61428;Schöder;497;502;999;01.01.2013
AT2;AT22;AT226;614;Murau;61429;Schönberg-Lachtal;230;212;442;01.01.2013
