Bevölkerungsindikatoren in Wien nach Wiener Bezirk ;;;;;;;;;;;;;;;;;;;;;;;
population indicators in Vienna by Vienna district ;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;DISTRICT_POP_RATIO;POP_DENSITY;RATE_M;RATE_F;SEX_RATIO;RATE_FOR_NATIONAL;RATE_FOR_BORN;RATE_MIG_BACKGROUND;AVERAGE_AGE_M;AVERAGE_AGE_F;WORKINGAGE_RATIO;YOUTH_RATIO;AGE_RATIO;OLD_AGE_RATIO;DEPENDENCY_RATIO;YOUTH_DEP_RATIO;AGE_DEP_RATIO;OLD_AGED_DER_RATIO;REF_DATE
AT1;AT13;AT130;90701;0;1,740650086;18845,98109;47,48754495;52,51245505;110,5815327;23,99617275;32,18186017;34,39902339;39,18925867;41,47361146;71,46062226;14,22349797;14,31587977;2,266653469;39,93720855;19,90396602;20,03324253;15,83314128;20130101
AT1;AT13;AT130;90801;0;1,374303229;21955,22171;48,60426243;51,39573757;105,7432723;23,78186377;31,11575428;33,15085667;38,85409681;41,71859501;70,06686168;14,51734225;15,41579607;2,193898872;42,72082066;20,71926999;22,00155066;14,23149905;20130101
AT1;AT13;AT130;90901;0;2,2953678;13469,32346;47,58306645;52,41693355;110,1587969;26,21347078;33,50180144;35,98879103;38,47591755;41,79599045;69,5281225;14,8468775;15,625;2,664631705;43,82669402;21,35377308;22,47292094;17,05364291;20130101
AT1;AT13;AT130;91001;0;10,48645625;5737,96719;48,96136258;51,03863742;104,2426818;27,86385169;36,47087817;40,83846765;38,2988669;41,38581883;62,44420713;20,96278649;16,59300638;2,083299105;60,14295738;33,57042624;26,57253113;12,55528418;20130101
AT1;AT13;AT130;91101;0;5,299308656;3967,687131;48,69193922;51,30806078;105,3728021;21,11103886;30,20352429;33,70396862;37,40885822;40,08945167;62,98198843;22,17742809;14,84058348;1,620174697;58,77555234;35,21233395;23,56321839;10,91719001;20130101
AT1;AT13;AT130;91201;0;5,146659346;11059,21925;47,9512587;52,0487413;108,5450991;25,77106767;34,95246385;38,85132119;38,29309783;41,70373467;63,63149438;20,02432601;16,34417961;2,620067845;57,15488215;31,46920595;25,68567621;16,03058647;20130101
AT1;AT13;AT130;91301;0;2,919231401;1347,77531;45,58832209;54,41167791;119,3544211;13,09830615;20,67832622;22,30528614;42,7518664;47,22080411;56,95540123;17,65851547;25,3860833;4,786449214;75,5759732;31,00411039;44,5718628;18,85461872;20130101
AT1;AT13;AT130;91401;0;4,953234638;2554,521799;47,58255264;52,41744736;110,1610663;19,42885632;26,84699935;29,6180781;40,47467044;43,72644827;62,77478898;18,07694091;19,1482701;2,891661256;59,29961952;28,7964981;30,50312142;15,10142295;20130101
AT1;AT13;AT130;91501;0;4,222665838;18767,81989;49,44578182;50,55421818;102,2417208;35,55156609;43,71591388;48,44614903;37,34563758;39,9271206;67,99815034;18,68837298;13,31347668;1,812939464;47,06282377;27,48364902;19,57917475;13,61732557;20130101
AT1;AT13;AT130;91601;0;5,603171522;11248,72745;48,83411059;51,16588941;104,7748977;29,7842464;37,5903244;41,80700046;38,37451989;41,25677083;65,74898785;18,86332189;15,38769026;2,110387946;52,09359606;28,6899046;23,40369146;13,71478052;20130101
AT1;AT13;AT130;91701;0;3,071880711;4695,72899;48,46603975;51,53396025;106,3300417;27,75710894;34,55476827;38,43967919;38,74301805;41,29802286;65,37605863;18,72347585;15,90046552;2,250930098;52,9611942;28,63965226;24,32154194;14,1563786;20130101
AT1;AT13;AT130;91801;0;2,76595036;7588,07007;46,01968357;53,98031643;117,2983216;22,88110959;29,66238944;32,41352103;39,38373037;42,79636895;63,42136954;17,99966779;18,57896267;3,301357917;57,67556065;28,3810771;29,29448355;17,76933393;20130101
AT1;AT13;AT130;91901;0;3,956477143;2761,835607;45,96905301;54,03094699;117,5376551;18,317076;27,09458283;29,20368112;41,37866684;45,92308519;58,4363932;17,94983452;23,61377228;4,563664867;71,12623578;30,71687615;40,40935963;19,32628473;20130101
AT1;AT13;AT130;92001;0;4,822810792;14705,76087;48,95030782;51,04969218;104,2888073;30,66792098;39,97523131;44,56696476;37,82015229;40,71077677;64,83322815;19,70301392;15,46375793;1,874322731;54,24189549;30,39030214;23,85159335;12,12074542;20130101
AT1;AT13;AT130;92101;0;8,414434261;3296,702756;47,9469819;52,0530181;108,5637011;15,93477845;23,75030713;26,49403478;39,35921708;41,99128052;61,24996587;21,02364247;17,72639166;1,87351552;63,26539709;34,32433336;28,94106373;10,56907439;20130101
AT1;AT13;AT130;92201;0;9,49119194;1615,502321;47,87160016;52,12839984;108,8921191;13,56548574;22,74105225;24,8661241;38,23481009;40,57519443;62,0742444;22,7059571;15,21979851;1,463104711;61,09741;36,5787088;24,5187012;9,613167415;20130101
AT1;AT13;AT130;92301;0;5,470967342;2970,682197;46,99306131;53,00693869;112,7973731;12,69433043;20,19671856;22,40639073;40,71117118;43,90296261;59,4879439;20,10224326;20,40981283;2,710391233;68,10128816;33,79212987;34,30915828;13,27984365;20130101
AT1;AT13;AT130;90101;0;0,913034471;5622,827252;47,89535677;52,10464323;108,7885063;21,35639452;31,65953754;33,84167132;45,47929071;47,73718025;60,87657306;13,71892629;25,40450065;4,066703862;64,26680244;22,53564155;41,7311609;16,00780869;20140101
AT1;AT13;AT130;90201;0;5,63731289;5176,024692;48,84685282;51,15314718;104,72148;29,67559264;37,74109662;41,92094139;37,84129496;40,61985985;65,20276715;19,56585038;15,23138247;2,345452172;53,36772405;30,00769941;23,36002464;15,39881345;20140101
AT1;AT13;AT130;90301;0;4,8934029;11686,59305;47,52238184;52,47761816;110,4271632;25,72813288;34,02503065;37,07520762;39,53742242;42,41380678;66,26067041;16,85636292;16,88296666;2,558586069;50,91908877;25,43946932;25,47961945;15,15483694;20140101
AT1;AT13;AT130;90401;0;1,780221945;17717,54341;47,38331426;52,61668574;111,0447561;27,02848785;35,45084573;38,22968333;39,90210025;42,80566802;66,48861758;16,02759761;17,48378481;3,064987918;50,40168324;24,10577659;26,29590666;17,53046008;20140101
AT1;AT13;AT130;90501;0;3,034392041;26649,91472;49,05614624;50,94385376;103,8480551;31,6731953;40,18653236;44,18951688;38,10243736;40,58851745;69,41242306;16,54542063;14,04215631;2,092893117;44,06643018;23,83639686;20,23003332;14,90435707;20140101
AT1;AT13;AT130;90601;0;1,732733511;21038,62935;48,45327149;51,54672851;106,3844131;25,17231242;33,84836507;36,4257015;39,3072878;41,84176172;71,00578186;14,06265312;14,93156502;2,17227975;40,83360169;19,80494088;21,02866081;14,5482389;20140101
AT1;AT13;AT130;90701;0;1,742865132;19146,30801;47,74941543;52,25058457;109,4266476;25,09418031;33,05728761;35,24292024;39,14514045;41,6634968;71,75240322;13,88672382;14,36087295;2,273317745;39,36815425;19,35367068;20,01448357;15,8299412;20140101
AT1;AT13;AT130;90801;0;1,374221309;22275,42115;48,82820545;51,17179455;104,7996626;25,14106841;31,8958771;34,23946621;38,75225643;41,5204443;70,08114008;14,50636352;15,4124964;2,112937106;42,69174258;20,6993829;21,99235968;13,70924639;20140101
AT1;AT13;AT130;90901;0;2,293934725;13658,04497;47,58685353;52,41314647;110,142072;27,50444137;34,10481642;37,06819976;38,55962875;41,47406082;69,66294907;14,66393604;15,67311488;2,494571654;43,54832997;21,0498353;22,49849467;15,91624685;20140101
AT1;AT13;AT130;91001;0;10,55329968;5859,108861;49,14883347;50,85116653;103,4636286;29,49316171;37,58648431;42,24510593;38,24941618;41,3130089;62,56047198;20,84687584;16,59265219;2,077768839;59,84534138;33,32275985;26,52258153;12,52222258;20140101
AT1;AT13;AT130;91101;0;5,288819106;4017,823932;48,73822774;51,26177226;105,1777519;22,28809932;31,02953767;34,78702911;37,51935618;40,14225767;62,94413527;21,98095034;15,07491438;1,598886986;58,8710363;34,9213636;23,9496727;10,60627573;20140101
AT1;AT13;AT130;91201;0;5,143580345;11214,46494;48,14578427;51,85421573;107,702505;27,36096133;35,89365495;40,16110219;38,18152313;41,58242435;63,84004226;19,91878865;16,24116909;2,573893523;56,64150033;31,20108939;25,44041094;15,84795718;20140101
AT1;AT13;AT130;91301;0;2,902228164;1359,547894;45,84105314;54,15894686;118,1450755;14,20575329;21,57386641;23,35251097;42,59838332;47,01058696;57,12140419;17,7766943;25,10190151;4,707947343;75,06572433;31,12089863;43,9448257;18,75534147;20140101
AT1;AT13;AT130;91401;0;4,958098108;2594,476927;47,63519299;52,36480701;109,9288231;20,42079067;27,47011884;30,41200041;40,46856951;43,6293874;62,70648538;18,12390835;19,16960627;2,83457196;59,47313805;28,90276539;30,57037266;14,78680324;20140101
AT1;AT13;AT130;91501;0;4,233262733;19090,45681;49,7653461;50,2346539;100,9430414;36,89615061;44,46390608;49,3909695;37,32772703;39,8510021;68,47214237;18,25888142;13,26897621;1,735502935;46,04479506;26,66614595;19,37864912;13,07940347;20140101
AT1;AT13;AT130;91601;0;5,608842471;11425,01304;48,89397945;51,10602055;104,5241584;30,94435586;38,2414677;42,66151331;38,39862954;41,17285706;65,86372535;18,72161786;15,41465679;2,084889095;51,82864235;28,42477822;23,40386413;13,52536825;20140101
AT1;AT13;AT130;91701;0;3,080352241;4777,635834;48,74499283;51,25500717;105,1492762;28,9643894;35,27250009;39,41420749;38,67588963;41,18322937;65,52313403;18,60277094;15,87409504;2,188453199;52,61785244;28,3911495;24,22670294;13,78631786;20140101
AT1;AT13;AT130;91801;0;2,737518579;7620,053339;45,91750233;54,08249767;117,7818804;23,78786312;30,20159206;33,09004445;39,41408501;42,66853997;63,58730487;17,86415797;18,54853717;3,239946242;57,26409573;28,09390648;29,17018924;17,46739494;20140101
AT1;AT13;AT130;91901;0;3,919182497;2775,86688;45,99664943;54,00335057;117,4071399;19,22676988;27,61763092;29,99046821;41,3634651;45,91297836;58,22766529;18,10895121;23,6633835;4,586811473;71,73966963;31,10025299;40,63941664;19,38358255;20140101
AT1;AT13;AT130;92001;0;4,771766853;14763,19909;48,87017377;51,12982623;104,6237864;31,86762351;40,61680802;45,53347963;37,8659466;40,79580095;64,79093767;19,63584604;15,5732163;1,914477196;54,34257259;30,30646992;24,03610267;12,2933963;20140101
AT1;AT13;AT130;92101;0;8,430583683;3351,401795;48,09294581;51,90705419;107,9307023;17,23834653;24,57317032;27,6709165;39,36365921;41,99201956;61,19022203;20,96047587;17,8493021;1,883891586;63,42480333;34,25461647;29,17018685;10,55442714;20140101
AT1;AT13;AT130;92201;0;9,531307839;1646,088995;47,91382116;52,08617884;108,7080462;14,59553191;23,45451738;25,83880661;38,3741758;40,67506556;62,05862442;22,47586019;15,4655154;1,456108887;61,13795776;36,21714209;24,92081567;9,415197942;20140101
AT1;AT13;AT130;92301;0;5,439038775;2996,596108;47,16215372;52,83784628;112,0344219;13,52009491;20,8504173;23,20124045;40,88603266;44,05071493;59,2700897;19,9013466;20,8285637;2,742106687;68,71916425;33,57738566;35,1417786;13,16512616;20140101
