NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;DEATHS;YEAR
AT2;AT22;AT224;617;Weiz;61723;Krottendorf;12;2012
AT2;AT22;AT224;617;Weiz;61724;Kulm bei Weiz;1;2012
AT2;AT22;AT224;617;Weiz;61725;Labuch;5;2012
AT2;AT22;AT224;617;Weiz;61726;Laßnitzthal;3;2012
AT2;AT22;AT224;617;Weiz;61727;Ludersdorf-Wilfersdorf;15;2012
AT2;AT22;AT224;617;Weiz;61728;Miesenbach bei Birkfeld;3;2012
AT2;AT22;AT224;617;Weiz;61729;Mitterdorf an der Raab;13;2012
AT2;AT22;AT224;617;Weiz;61730;Mortantsch;13;2012
AT2;AT22;AT224;617;Weiz;61731;Naas;8;2012
AT2;AT22;AT224;617;Weiz;61732;Naintsch;5;2012
AT2;AT22;AT224;617;Weiz;61733;Neudorf bei Passail;6;2012
AT2;AT22;AT224;617;Weiz;61734;Nitscha;6;2012
AT2;AT22;AT224;617;Weiz;61735;Oberrettenbach;5;2012
AT2;AT22;AT224;617;Weiz;61736;Passail;27;2012
AT2;AT22;AT224;617;Weiz;61737;Pischelsdorf in der Steiermark;17;2012
AT2;AT22;AT224;617;Weiz;61739;Preßguts;2;2012
AT2;AT22;AT224;617;Weiz;61740;Puch bei Weiz;10;2012
AT2;AT22;AT224;617;Weiz;61741;Ratten;25;2012
AT2;AT22;AT224;617;Weiz;61742;Reichendorf;2;2012
AT2;AT22;AT224;617;Weiz;61743;Rettenegg;22;2012
AT2;AT22;AT224;617;Weiz;61744;Sankt Kathrein am Hauenstein;7;2012
AT2;AT22;AT224;617;Weiz;61745;Sankt Kathrein am Offenegg;9;2012
AT2;AT22;AT224;617;Weiz;61746;Sankt Margarethen an der Raab;37;2012
AT2;AT22;AT224;617;Weiz;61747;Sankt Ruprecht an der Raab;26;2012
AT2;AT22;AT224;617;Weiz;61748;Sinabelkirchen;27;2012
AT2;AT22;AT224;617;Weiz;61749;Stenzengreith;3;2012
AT2;AT22;AT224;617;Weiz;61750;Strallegg;18;2012
AT2;AT22;AT224;617;Weiz;61751;Thannhausen;14;2012
AT2;AT22;AT224;617;Weiz;61752;Ungerdorf;3;2012
AT2;AT22;AT224;617;Weiz;61753;Unterfladnitz;13;2012
AT2;AT22;AT224;617;Weiz;61754;Waisenegg;4;2012
AT2;AT22;AT224;617;Weiz;61755;Weiz;145;2012
AT2;AT22;AT226;620;Murtal;62001;Amering;19;2012
AT2;AT22;AT226;620;Murtal;62002;Apfelberg;6;2012
AT2;AT22;AT226;620;Murtal;62003;Bretstein;4;2012
AT2;AT22;AT226;620;Murtal;62004;Eppenstein;8;2012
AT2;AT22;AT226;620;Murtal;62005;Feistritz bei Knittelfeld;3;2012
AT2;AT22;AT226;620;Murtal;62006;Flatschach;1;2012
AT2;AT22;AT226;620;Murtal;62007;Fohnsdorf;99;2012
AT2;AT22;AT226;620;Murtal;62008;Gaal;15;2012
AT2;AT22;AT226;620;Murtal;62009;Großlobming;24;2012
AT2;AT22;AT226;620;Murtal;62010;Hohentauern;4;2012
AT2;AT22;AT226;620;Murtal;62011;Judenburg;127;2012
AT2;AT22;AT226;620;Murtal;62012;Kleinlobming;6;2012
AT2;AT22;AT226;620;Murtal;62013;Knittelfeld;168;2012
AT2;AT22;AT226;620;Murtal;62014;Kobenz;23;2012
AT2;AT22;AT226;620;Murtal;62015;Maria Buch-Feistritz;14;2012
AT2;AT22;AT226;620;Murtal;62016;Obdach;18;2012
AT2;AT22;AT226;620;Murtal;62017;Oberkurzheim;4;2012
AT2;AT22;AT226;620;Murtal;62018;Oberweg;7;2012
AT2;AT22;AT226;620;Murtal;62019;Oberzeiring;19;2012
AT2;AT22;AT226;620;Murtal;62020;Pöls;37;2012
AT2;AT22;AT226;620;Murtal;62021;Pusterwald;3;2012
AT2;AT22;AT226;620;Murtal;62022;Rachau;7;2012
AT2;AT22;AT226;620;Murtal;62023;Reifling;3;2012
AT2;AT22;AT226;620;Murtal;62024;Reisstraße;2;2012
AT2;AT22;AT226;620;Murtal;62025;Sankt Anna am Lavantegg;3;2012
AT2;AT22;AT226;620;Murtal;62026;Sankt Georgen ob Judenburg;14;2012
AT2;AT22;AT226;620;Murtal;62027;Sankt Johann am Tauern;15;2012
AT2;AT22;AT226;620;Murtal;62028;Sankt Lorenzen bei Knittelfeld;20;2012
AT2;AT22;AT226;620;Murtal;62029;Sankt Marein bei Knittelfeld;18;2012
AT2;AT22;AT226;620;Murtal;62030;Sankt Margarethen bei Knittelfeld;10;2012
AT2;AT22;AT226;620;Murtal;62031;Sankt Oswald-Möderbrugg;10;2012
AT2;AT22;AT226;620;Murtal;62032;Sankt Peter ob Judenburg;12;2012
AT2;AT22;AT226;620;Murtal;62033;Sankt Wolfgang-Kienberg;2;2012
AT2;AT22;AT226;620;Murtal;62034;Seckau;5;2012
