Wanderung gegenüber Wien nach Geburtsstaat und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by country of birth and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;ROU;1041;1069;1618;549;-28;199;227;1459;2007
AT1;AT13;AT130;00000;00000000;2;SVK;372;386;821;435;-14;111;125;1005;2007
AT1;AT13;AT130;00000;00000000;2;HUN;311;329;610;281;-18;127;145;602;2007
AT1;AT13;AT130;00000;00000000;2;BGR;464;453;696;243;11;74;63;678;2007
AT1;AT13;AT130;00000;00000000;2;CZE;48;69;246;177;-21;91;112;512;2007
AT1;AT13;AT130;00000;00000000;2;REST-EU;523;543;1406;863;-20;137;157;1074;2007
AT1;AT13;AT130;00000;00000000;2;SCG;343;371;1379;1008;-28;256;284;5123;2007
AT1;AT13;AT130;00000;00000000;2;TUR;668;647;1131;484;21;223;202;3687;2007
AT1;AT13;AT130;00000;00000000;2;BIH;283;228;477;249;55;233;178;2149;2007
AT1;AT13;AT130;00000;00000000;2;HRV;63;56;223;167;7;58;51;546;2007
AT1;AT13;AT130;00000;00000000;2;MKD;165;167;220;53;-2;38;40;522;2007
AT1;AT13;AT130;00000;00000000;2;RUS;561;255;396;141;306;412;106;978;2007
AT1;AT13;AT130;00000;00000000;2;CHN;47;36;304;268;11;149;138;913;2007
AT1;AT13;AT130;00000;00000000;2;OTHER;2083;1836;4643;2807;247;936;689;6658;2007
AT1;AT13;AT130;00000;00000000;1;AUT;-2272;-982;3003;3985;-1290;10378;11668;41337;2007
AT1;AT13;AT130;00000;00000000;1;DEU;1221;1267;2134;867;-46;321;367;1767;2007
AT1;AT13;AT130;00000;00000000;1;POL;495;574;1834;1260;-79;145;224;2158;2007
AT1;AT13;AT130;00000;00000000;1;ROU;1031;1153;1822;669;-122;123;245;1061;2007
AT1;AT13;AT130;00000;00000000;1;SVK;183;201;588;387;-18;59;77;389;2007
AT1;AT13;AT130;00000;00000000;1;HUN;337;351;633;282;-14;102;116;430;2007
AT1;AT13;AT130;00000;00000000;1;BGR;339;338;613;275;1;43;42;480;2007
AT1;AT13;AT130;00000;00000000;1;CZE;11;37;201;164;-26;46;72;285;2007
AT1;AT13;AT130;00000;00000000;1;REST-EU;518;557;1571;1014;-39;132;171;1073;2007
AT1;AT13;AT130;00000;00000000;1;SCG;106;100;1890;1790;6;392;386;5848;2007
AT1;AT13;AT130;00000;00000000;1;TUR;393;377;1270;893;16;366;350;5611;2007
AT1;AT13;AT130;00000;00000000;1;BIH;166;162;572;410;4;241;237;2498;2007
AT1;AT13;AT130;00000;00000000;1;HRV;40;48;274;226;-8;52;60;549;2007
AT1;AT13;AT130;00000;00000000;1;MKD;83;92;270;178;-9;54;63;816;2007
AT1;AT13;AT130;00000;00000000;1;RUS;464;170;351;181;294;466;172;903;2007
AT1;AT13;AT130;00000;00000000;1;CHN;61;50;345;295;11;155;144;734;2007
AT1;AT13;AT130;00000;00000000;1;OTHER;1221;754;5430;4676;467;1697;1230;11062;2007
AT1;AT13;AT130;00000;00000000;2;AUT;-3172;-1240;1314;2554;-1932;10159;12091;39768;2008
