NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT222;612;Liezen;61214;Großsölk;68;77;95;129;74;44;487;01.01.2012
AT2;AT22;AT222;612;Liezen;61215;Grundlsee;141;176;239;297;240;148;1241;01.01.2012
AT2;AT22;AT222;612;Liezen;61216;Hall;221;271;329;419;336;168;1744;01.01.2012
AT2;AT22;AT222;612;Liezen;61217;Haus;349;444;467;568;377;189;2394;01.01.2012
AT2;AT22;AT222;612;Liezen;61218;Irdning;438;522;528;601;410;241;2740;01.01.2012
AT2;AT22;AT222;612;Liezen;61219;Johnsbach;20;18;19;35;28;20;140;01.01.2012
AT2;AT22;AT222;612;Liezen;61220;Kleinsölk;94;118;102;127;91;51;583;01.01.2012
AT2;AT22;AT222;612;Liezen;61221;Landl;161;184;236;261;237;192;1271;01.01.2012
AT2;AT22;AT222;612;Liezen;61222;Lassing;247;303;303;366;272;171;1662;01.01.2012
AT2;AT22;AT222;612;Liezen;61223;Liezen;932;1196;1364;1545;1178;633;6848;01.01.2012
AT2;AT22;AT222;612;Liezen;61224;Michaelerberg;95;107;124;96;72;49;543;01.01.2012
AT2;AT22;AT222;612;Liezen;61225;Mitterberg;200;181;279;248;171;87;1166;01.01.2012
AT2;AT22;AT222;612;Liezen;61226;Bad Mitterndorf;402;506;593;732;572;291;3096;01.01.2012
AT2;AT22;AT222;612;Liezen;61227;Niederöblarn;112;130;122;115;81;35;595;01.01.2012
AT2;AT22;AT222;612;Liezen;61228;Öblarn;232;233;312;294;217;153;1441;01.01.2012
AT2;AT22;AT222;612;Liezen;61229;Oppenberg;39;42;48;54;46;16;245;01.01.2012
AT2;AT22;AT222;612;Liezen;61230;Palfau;55;69;80;86;69;43;402;01.01.2012
AT2;AT22;AT222;612;Liezen;61232;Pichl-Preunegg;158;178;214;198;118;73;939;01.01.2012
AT2;AT22;AT222;612;Liezen;61233;Pichl-Kainisch;101;133;155;185;134;55;763;01.01.2012
AT2;AT22;AT222;612;Liezen;61234;Pruggern;98;106;143;129;96;47;619;01.01.2012
AT2;AT22;AT222;612;Liezen;61235;Pürgg-Trautenfels;114;172;155;218;133;128;920;01.01.2012
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein;458;486;612;591;441;177;2765;01.01.2012
AT2;AT22;AT222;612;Liezen;61237;Rohrmoos-Untertal;248;267;284;288;197;107;1391;01.01.2012
AT2;AT22;AT222;612;Liezen;61238;Rottenmann;685;876;1008;1092;963;459;5083;01.01.2012
AT2;AT22;AT222;612;Liezen;61239;Sankt Gallen;193;206;262;313;254;191;1419;01.01.2012
AT2;AT22;AT222;612;Liezen;61240;Sankt Martin am Grimming;136;124;157;172;116;56;761;01.01.2012
AT2;AT22;AT222;612;Liezen;61241;Sankt Nikolai im Sölktal;85;80;98;105;85;42;495;01.01.2012
AT2;AT22;AT222;612;Liezen;61242;Schladming;616;783;900;1018;680;359;4356;01.01.2012
AT2;AT22;AT222;612;Liezen;61243;Selzthal;169;287;330;429;298;163;1676;01.01.2012
AT2;AT22;AT222;612;Liezen;61244;Stainach;259;297;382;438;400;178;1954;01.01.2012
AT2;AT22;AT222;612;Liezen;61245;Tauplitz;128;147;217;235;203;80;1010;01.01.2012
AT2;AT22;AT222;612;Liezen;61246;Treglwang;48;61;71;86;64;35;365;01.01.2012
AT2;AT22;AT222;612;Liezen;61247;Trieben;366;543;611;779;669;462;3430;01.01.2012
AT2;AT22;AT222;612;Liezen;61248;Weißenbach an der Enns;77;108;97;86;73;62;503;01.01.2012
AT2;AT22;AT222;612;Liezen;61249;Weißenbach bei Liezen;135;167;220;298;200;92;1112;01.01.2012
AT2;AT22;AT222;612;Liezen;61250;Weng im Gesäuse;89;105;113;154;96;50;607;01.01.2012
AT2;AT22;AT222;612;Liezen;61251;Wildalpen;55;77;99;126;101;68;526;01.01.2012
AT2;AT22;AT222;612;Liezen;61252;Wörschach;190;192;219;271;204;83;1159;01.01.2012
AT2;AT22;AT226;614;Murau;61401;Dürnstein in der Steiermark;28;48;53;75;43;28;275;01.01.2012
AT2;AT22;AT226;614;Murau;61403;Frojach-Katsch;203;201;269;254;171;93;1191;01.01.2012
AT2;AT22;AT226;614;Murau;61404;Krakaudorf;90;110;139;155;94;47;635;01.01.2012
AT2;AT22;AT226;614;Murau;61405;Krakauhintermühlen;79;108;113;150;51;50;551;01.01.2012
AT2;AT22;AT226;614;Murau;61406;Krakauschatten;56;62;67;70;45;18;318;01.01.2012
AT2;AT22;AT226;614;Murau;61407;Kulm am Zirbitz;41;63;73;64;59;29;329;01.01.2012
AT2;AT22;AT226;614;Murau;61408;Laßnitz bei Murau;159;161;209;227;185;102;1043;01.01.2012
AT2;AT22;AT226;614;Murau;61409;Mariahof;210;232;292;275;218;109;1336;01.01.2012
AT2;AT22;AT226;614;Murau;61410;Mühlen;123;190;161;198;154;106;932;01.01.2012
AT2;AT22;AT226;614;Murau;61411;Murau;213;339;399;480;383;297;2111;01.01.2012
AT2;AT22;AT226;614;Murau;61412;Neumarkt in Steiermark;226;301;321;437;302;199;1786;01.01.2012
AT2;AT22;AT226;614;Murau;61413;Niederwölz;78;111;135;133;86;55;598;01.01.2012
AT2;AT22;AT226;614;Murau;61414;Oberwölz Stadt;142;186;201;216;150;95;990;01.01.2012
AT2;AT22;AT226;614;Murau;61415;Oberwölz Umgebung;105;135;153;193;141;62;789;01.01.2012
AT2;AT22;AT226;614;Murau;61416;Perchau am Sattel;32;71;46;85;41;24;299;01.01.2012
AT2;AT22;AT226;614;Murau;61417;Predlitz-Turrach;104;164;187;195;133;66;849;01.01.2012
AT2;AT22;AT226;614;Murau;61418;Ranten;179;174;214;226;153;99;1045;01.01.2012
AT2;AT22;AT226;614;Murau;61419;Rinegg;26;33;39;30;22;10;160;01.01.2012
AT2;AT22;AT226;614;Murau;61420;Sankt Blasen;74;104;109;159;68;57;571;01.01.2012
AT2;AT22;AT226;614;Murau;61421;Sankt Georgen ob Murau;193;240;275;351;217;106;1382;01.01.2012
AT2;AT22;AT226;614;Murau;61422;Sankt Lambrecht;142;246;255;342;262;196;1443;01.01.2012
AT2;AT22;AT226;614;Murau;61423;Sankt Lorenzen bei Scheifling;82;122;115;158;89;56;622;01.01.2012
AT2;AT22;AT226;614;Murau;61424;Sankt Marein bei Neumarkt;168;187;173;204;141;87;960;01.01.2012
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg;309;372;437;463;324;188;2093;01.01.2012
AT2;AT22;AT226;614;Murau;61427;Scheifling;229;250;312;349;231;164;1535;01.01.2012
AT2;AT22;AT226;614;Murau;61428;Schöder;140;170;195;242;147;120;1014;01.01.2012
AT2;AT22;AT226;614;Murau;61429;Schönberg-Lachtal;76;89;92;86;65;34;442;01.01.2012
AT2;AT22;AT226;614;Murau;61430;Stadl an der Mur;121;179;200;233;153;114;1000;01.01.2012
