Herkunftsgebiet (Österreichisches Bundesland,Ausland) in Wien gemeldeter Personen, nach Geschlecht und Wiener Zählbezirk ;;;;;;;;;;;;;;;;;;
Place of Birth (Austrian Provinces, Foreign) of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;BORN_AT13;BORN_AT11;BORN_AT12;BORN_AT21;BORN_AT22;BORN_AT31;BORN_AT32;BORN_AT33;BORN_AT34;BORN_AT_UNCLASSIFIED;FOREIGN_BORN;REF_DATE
AT1;AT13;AT130;91801;1803;2;7707;3019;136;683;173;270;370;107;70;49;12;2818;20110101
AT1;AT13;AT130;91801;1804;2;4759;2591;70;402;94;163;142;64;34;22;7;1170;20110101
AT1;AT13;AT130;91801;1805;2;4944;2748;76;391;100;165;171;63;46;28;6;1150;20110101
AT1;AT13;AT130;91801;1899;2;1;0;0;0;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;91901;1901;2;3071;1673;48;298;59;72;82;27;14;8;11;779;20110101
AT1;AT13;AT130;91901;1902;2;5210;2639;95;596;57;139;91;34;19;10;8;1522;20110101
AT1;AT13;AT130;91901;1903;2;132;43;0;18;6;8;4;3;1;1;0;48;20110101
AT1;AT13;AT130;91901;1904;2;7298;3570;115;708;115;190;210;83;60;26;15;2206;20110101
AT1;AT13;AT130;91901;1905;2;3872;2105;54;272;79;93;93;24;28;11;7;1106;20110101
AT1;AT13;AT130;91901;1906;2;2603;1431;41;211;57;74;66;25;25;13;5;655;20110101
AT1;AT13;AT130;91901;1907;2;1556;889;15;123;27;43;41;18;8;9;4;379;20110101
AT1;AT13;AT130;91901;1908;2;6925;3807;130;718;107;169;133;56;35;13;16;1741;20110101
AT1;AT13;AT130;91901;1909;2;2229;960;21;105;45;57;81;21;20;15;3;901;20110101
AT1;AT13;AT130;91901;1910;2;4647;2710;66;388;70;114;115;38;49;19;10;1068;20110101
AT1;AT13;AT130;91901;1999;2;8;4;0;0;0;1;0;0;0;0;0;3;20110101
AT1;AT13;AT130;92001;2001;2;4231;2076;58;422;38;70;64;14;10;5;4;1470;20110101
AT1;AT13;AT130;92001;2002;2;7510;2913;138;785;71;133;112;42;31;11;11;3263;20110101
AT1;AT13;AT130;92001;2003;2;6928;2711;124;756;96;168;194;56;41;27;12;2743;20110101
AT1;AT13;AT130;92001;2004;2;4780;2063;99;505;61;80;90;22;15;9;5;1831;20110101
AT1;AT13;AT130;92001;2005;2;5612;1988;97;506;67;121;133;41;40;27;2;2590;20110101
AT1;AT13;AT130;92001;2006;2;4355;2055;78;489;44;75;66;11;17;9;7;1504;20110101
AT1;AT13;AT130;92001;2007;2;6655;3063;124;738;64;131;127;23;23;15;11;2336;20110101
AT1;AT13;AT130;92001;2008;2;2734;1062;52;336;24;56;43;20;10;11;9;1111;20110101
AT1;AT13;AT130;92001;2099;2;42;19;1;8;2;0;1;0;1;0;0;10;20110101
AT1;AT13;AT130;92101;2101;2;689;485;7;85;8;14;13;1;6;3;0;67;20110101
AT1;AT13;AT130;92101;2102;2;3581;2204;40;422;32;90;54;17;17;8;2;695;20110101
AT1;AT13;AT130;92101;2103;2;2818;1786;38;371;24;55;33;9;13;3;0;486;20110101
AT1;AT13;AT130;92101;2104;2;2036;1304;32;271;10;40;23;7;5;3;5;336;20110101
AT1;AT13;AT130;92101;2105;2;9710;5684;182;1103;54;116;90;26;27;15;25;2388;20110101
AT1;AT13;AT130;92101;2106;2;437;258;5;39;3;8;10;1;3;1;2;107;20110101
AT1;AT13;AT130;92101;2107;2;1470;826;26;194;13;30;22;5;5;0;1;348;20110101
AT1;AT13;AT130;92101;2108;2;1296;815;32;170;10;22;14;4;2;0;3;224;20110101
AT1;AT13;AT130;92101;2109;2;3534;2168;51;406;29;66;36;12;7;4;6;749;20110101
AT1;AT13;AT130;92101;2110;2;2383;1443;34;215;19;28;26;13;10;1;2;592;20110101
AT1;AT13;AT130;92101;2111;2;2570;1478;35;283;28;54;36;9;15;4;3;625;20110101
AT1;AT13;AT130;92101;2112;2;3780;2195;49;408;23;48;36;2;17;2;3;997;20110101
